Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Balistes capriscus,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,154721,exact,urn:lsid:marinespecies.org:taxname:154721,Balistes capriscus,154721,Balistes capriscus
Barbourisia rufa,Chordata,Actinopterygii,Cetomimiformes,Barbourisiidae,,159425,exact,urn:lsid:marinespecies.org:taxname:159425,Barbourisia rufa,159425,Barbourisia rufa
Bartramia longicauda,Chordata,Aves,Ciconiiformes,Scolopacidae,,159083,exact,urn:lsid:marinespecies.org:taxname:159083,Bartramia longicauda,159083,Bartramia longicauda
Bassogigas gillii,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,159063,exact,urn:lsid:marinespecies.org:taxname:159063,Bassogigas gillii,159063,Bassogigas gillii
Bathophilus brevis,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127329,exact,urn:lsid:marinespecies.org:taxname:127329,Bathophilus brevis,127329,Bathophilus brevis
Bathophilus longipinnis,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,158846,exact,urn:lsid:marinespecies.org:taxname:158846,Bathophilus longipinnis,158846,Bathophilus longipinnis
Bathophilus metallicus,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,158847,exact,urn:lsid:marinespecies.org:taxname:158847,Bathophilus metallicus,127333,Bathophilus vaillanti
Bathophilus vaillanti,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127333,exact,urn:lsid:marinespecies.org:taxname:127333,Bathophilus vaillanti,127333,Bathophilus vaillanti
Bathychaunax roseus,Chordata,Actinopterygii,Lophiiformes,Chaunacidae,,159148,exact,urn:lsid:marinespecies.org:taxname:159148,Bathychaunax roseus,280135,Chaunacops roseus
Bathyclupea argentea,Chordata,Actinopterygii,Perciformes,Bathyclupeidae,,159596,exact,urn:lsid:marinespecies.org:taxname:159596,Bathyclupea argentea,1526187,Neobathyclupea argentea
Bathylagus bericoides,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,158720,exact,urn:lsid:marinespecies.org:taxname:158720,Bathylagus bericoides,126721,Melanolagus bericoides
Bathylagus euryops,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,126719,exact,urn:lsid:marinespecies.org:taxname:126719,Bathylagus euryops,126719,Bathylagus euryops
Bathylagus greyae,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,,158721,exact,urn:lsid:marinespecies.org:taxname:158721,Bathylagus greyae,126718,Bathylagichthys greyae
Bathypterois grallator,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,126343,exact,urn:lsid:marinespecies.org:taxname:126343,Bathypterois grallator,126343,Bathypterois grallator
Bathypterois nigrescens,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,158863,exact,urn:lsid:marinespecies.org:taxname:158863,Bathypterois nigrescens,272077,Bathypterois viridensis
Bathypterois quadrifilis,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,158862,exact,urn:lsid:marinespecies.org:taxname:158862,Bathypterois quadrifilis,158862,Bathypterois quadrifilis
Bathyraja richardsoni,Chordata,Elasmobranchii,Rajiformes,Rajidae,,105867,exact,urn:lsid:marinespecies.org:taxname:105867,Bathyraja richardsoni,105867,Bathyraja richardsoni
